,Pipes,Pipe Pit,Pit,Platforms,M-Pyramid,Pyramid,Blocks
After Beginning,4,1,1,4,0,2,3
After Pipes,13,1,7,0,5,2,4
After Pipe-Pits,1,0,0,4,0,2,1
After Pits,2,0,0,0,3,3,4
After Platforms,0,1,0,6,0,0,1
After M-Pyramid,4,3,0,0,3,2,2
After Pyramid,2,0,2,0,1,0,2
After Blocks,8,1,7,1,2,1,3
